codigo,codigos_alternos,slug,nombre,marca,linea,concentracion,genero,familia,precio_100ml,precios,rebaja,mls,salida,corazon,fondo,corta,larga,badges,duracion,estela,ocasion,destacado,anio,origen,agotado,visible,nota
0001,,lattafa-yara,Yara,lattafa,,Eau de Parfum,Mujer,Gourmand,569,100:569,,100,,,,,,Más vendido,3,3,,si,,,,si,
0002,,lattafa-asad,Asad,lattafa,,Eau de Parfum,Hombre,Especiado,569,100:569,,100,,,,,,Más vendido,3,3,,si,,,,si,
0003,,lattafa-asad-zanzibar,Asad Zanzibar,lattafa,,Eau de Parfum,Hombre,Especiado,569,100:569,,100,,,,,,,3,3,,,,,,si,
0004,,lattafa-yara-candy,Yara Candy,lattafa,,Eau de Parfum,Mujer,Gourmand,569,100:569,,100,,,,,,,3,3,,,,,,si,
0005,,lattafa-yara-tous,Yara Tous,lattafa,,Eau de Parfum,Mujer,Gourmand,569,100:569,,100,,,,,,Más vendido,3,3,,si,,,,si,
0006,,lattafa-yara-moi,Yara Moi,lattafa,,Eau de Parfum,Mujer,Floral,569,100:569,,100,,,,,,,3,3,,,,,,si,
0007,,lattafa-khamrah,Khamrah,lattafa,,Eau de Parfum,Unisex,Oriental,609,100:609,,100,,,,,,Más vendido,3,3,,si,,,,si,
0008,,lattafa-khamrah-qahwa,Khamrah Qahwa,lattafa,,Eau de Parfum,Unisex,Gourmand,609,100:609,,100,,,,,,,3,3,,,,,,si,
0009,,lattafa-fakhar-men,Fakhar Men,lattafa,,Eau de Parfum,Hombre,Fougère,589,100:589,,100,,,,,,,3,3,,,,,,si,
0010,,lattafa-fakhar-rose,Fakhar Rose,lattafa,,Eau de Parfum,Mujer,Floral,589,100:589,,100,,,,,,,3,3,,,,,,si,
0011,,orientica-royal-amber-80-ml,Royal Amber,orientica,,Eau de Parfum,Unisex,Oriental,,80:609,,80,,,,,,,3,3,,,,,,si,
0012,,rasasi-hawas-for-him,Hawas for Him,rasasi,,Eau de Parfum,Hombre,Acuático,589,100:589,,100,,,,,,,3,3,,,,,,si,
