codigo,nombre,campo,valor_propuesto,motivo
HZP4,CeraVe Loción Hidratante (piel seca),fuera,,Cuidado de la piel: la tienda no tiene esa categoría todavía; no se carga
HZP5,CeraVe Limpiador Hidratante (piel normal a seca),fuera,,Cuidado de la piel: la tienda no tiene esa categoría todavía; no se carga
HZP2,Vichy Minéral 89,fuera,,Cuidado de la piel: la tienda no tiene esa categoría todavía; no se carga
HZP7,COSRX Aloe Soothing Sun Cream,fuera,,Cuidado de la piel: la tienda no tiene esa categoría todavía; no se carga
HZP8,Anua Heartleaf 77% Toner Pads,fuera,,Cuidado de la piel: la tienda no tiene esa categoría todavía; no se carga
0001,Yara,familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0002,Asad,familia,Especiado,Propuesta: el PDF no trae familia olfativa
0003,Asad Zanzibar,familia,Especiado,Propuesta: el PDF no trae familia olfativa
0003,Asad Zanzibar,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0003,Asad Zanzibar,ml,100,El PDF no dice el tamaño; se asume 100 ml
0004,Yara Candy,familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0005,Yara Tous,familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0006,Yara Moi,familia,Floral,Propuesta: el PDF no trae familia olfativa
0007,Khamrah,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0008,Khamrah Qahwa,familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0009,Fakhar Men,familia,Fougère,Propuesta: el PDF no trae familia olfativa
0010,Fakhar Rose,familia,Floral,Propuesta: el PDF no trae familia olfativa
0010,Fakhar Rose,ml,100,El PDF no dice el tamaño; se asume 100 ml
0011,Royal Amber,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0012,Hawas for Him,familia,Acuático,Propuesta: el PDF no trae familia olfativa
0013,Eros,familia,Fougère,Propuesta: el PDF no trae familia olfativa
0014,Eros Flame,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0015,Club de Nuit Intense Man,familia,Chipre,Propuesta: el PDF no trae familia olfativa
0016,Club de Nuit Woman,familia,Chipre,Propuesta: el PDF no trae familia olfativa
0017,Sauvage,familia,Fougère,Propuesta: el PDF no trae familia olfativa
0018,Purr,familia,Floral,Propuesta: el PDF no trae familia olfativa
0019,Cloud,familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0020,Fantasy,familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0021,Miracle,familia,Floral,Propuesta: el PDF no trae familia olfativa
0022,Coco Mademoiselle,familia,Chipre,Propuesta: el PDF no trae familia olfativa
0023,Light Blue Summer Vibes,familia,Cítrico,Propuesta: el PDF no trae familia olfativa
0025,Rave Now Black,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0026,Rave Now White,familia,Floral,Propuesta: el PDF no trae familia olfativa
0026,Rave Now White,genero,Unisex,Propuesta: el PDF no lo dice
0027,Qaed Al Fursan,familia,Cítrico,Propuesta: el PDF no trae familia olfativa
0027,Qaed Al Fursan,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0027,Qaed Al Fursan,ml,100,El PDF no dice el tamaño; se asume 100 ml
0028,9pm,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0028,9pm,nombre,9pm,"La celda dice ""Con caja de regalo: 235 pesos / Versión normal: 215 pesos"" pero el precio es 589"
0029,Bleu de Chanel,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0029,Bleu de Chanel,concentracion,Eau de Toilette,Propuesta: el PDF no la dice
0030,Light Blue,familia,Cítrico,Propuesta: el PDF no trae familia olfativa
0030,Light Blue,ml,100,El PDF no dice el tamaño; se asume 100 ml
0031,Bade'e Al Oud Sublime,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0032,Bade'e Al Oud for Glory,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0032,Bade'e Al Oud for Glory,concentracion,Eau de Parfum,Propuesta: el PDF no la dice
0032,Bade'e Al Oud for Glory,ml,100,El PDF no dice el tamaño; se asume 100 ml
0033,Bright Crystal,familia,Floral,Propuesta: el PDF no trae familia olfativa
0033,Bright Crystal,ml,100,El PDF no dice el tamaño; se asume 100 ml
0034,Yellow Diamond,familia,Floral,Propuesta: el PDF no trae familia olfativa
0035,Legend Spirit,familia,Fougère,Propuesta: el PDF no trae familia olfativa
0036,Touch of Pink,familia,Floral,Propuesta: el PDF no trae familia olfativa
0037,Brit Sheer,familia,Floral,Propuesta: el PDF no trae familia olfativa
0038,L'Eau d'Issey,familia,Floral,Propuesta: el PDF no trae familia olfativa
0039,9am Dive,familia,Acuático,Propuesta: el PDF no trae familia olfativa
0040,Invictus,familia,Acuático,Propuesta: el PDF no trae familia olfativa
0041,Pour Homme,familia,Fougère,Propuesta: el PDF no trae familia olfativa
0042,Le Male,familia,Fougère,Propuesta: el PDF no trae familia olfativa
0043,Eros,familia,Fougère,Propuesta: el PDF no trae familia olfativa
0044,Man Eau Fraîche,familia,Acuático,Propuesta: el PDF no trae familia olfativa
0045,Acqua di Giò Profondo,familia,Acuático,Propuesta: el PDF no trae familia olfativa
0045,Acqua di Giò Profondo,visible,no,"Mismo producto que 0321 (Acqua di Giò Profondo). Se publica 0321, que está disponible"
FT046,Uomo Born in Roma,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
FT047,Uomo Born in Roma Coral Fantasy,familia,Fougère,Propuesta: el PDF no trae familia olfativa
FT047,Uomo Born in Roma Coral Fantasy,concentracion,Eau de Toilette,Propuesta: el PDF no la dice
FT047,Uomo Born in Roma Coral Fantasy,ml,100,El PDF no dice el tamaño; se asume 100 ml
FT047,Uomo Born in Roma Coral Fantasy,nombre,Uomo Born in Roma Coral Fantasy,Nombre cortado en el catálogo; variante deducida de la foto — confirmar
0048,"Thank U, Next",familia,Gourmand,Propuesta: el PDF no trae familia olfativa
0049,Toy 2 Bubble Gum,familia,Floral,Propuesta: el PDF no trae familia olfativa
0050,Toy 2,familia,Floral,Propuesta: el PDF no trae familia olfativa
0051,CK One,familia,Cítrico,Propuesta: el PDF no trae familia olfativa
0052,CK Be,familia,Fougère,Propuesta: el PDF no trae familia olfativa
0053,Club de Nuit Urban Man,familia,Amaderado,Propuesta: el PDF no trae familia olfativa
0054,Dylan Blue Pour Homme,familia,Fougère,Propuesta: el PDF no trae familia olfativa
0055,Crystal Noir,familia,Oriental,Propuesta: el PDF no trae familia olfativa
0056,Dylan Turquoise,familia,Cítrico,Propuesta: el PDF no trae familia olfativa
0057,Club de Nuit Sillage,familia,Cítrico,Propuesta: el PDF no trae familia olfativa
