codigo,slug,nombre,marca,precio,precio_anterior,incluye,descripcion,agotado,visible,nota
0125,set-lattafa-3-2-30-ml,Lattafa 3 + 2 · 30 ml,lattafa,695,,Cinco fragancias Lattafa de 30 ml|Estuche de regalo,Estuche con cinco fragancias Lattafa en frasco de 30 ml.,si,si,
0135,set-gissah-2-90-ml,Gissah · 2 × 90 ml,gissah,731,,Dos fragancias Gissah de 90 ml|Estuche de regalo,Dúo de fragancias Gissah en frasco de 90 ml.,,si,
0206,set-rasasi-hawas-4-30-ml-0206,Rasasi Hawas · 4 × 30 ml,rasasi,719,,Cuatro fragancias Hawas de 30 ml|Estuche de regalo,Estuche con cuatro fragancias de la línea Hawas en 30 ml.,si,no,"Mismo set que 0340 (Rasasi Hawas 4 × 30 ml); 0206 está agotado. Se publica 0340"
0265,set-valentino-uomo-4-30-ml,Valentino Uomo · 4 × 30 ml,valentino,719,,Cuatro fragancias Valentino Uomo de 30 ml|Estuche de regalo,Estuche con cuatro fragancias masculinas de Valentino en 30 ml.,si,si,
0266,set-valentino-donna-4-30-ml,Valentino Donna · 4 × 30 ml,valentino,719,,Cuatro fragancias Valentino Donna de 30 ml|Estuche de regalo,Estuche con cuatro fragancias femeninas de Valentino en 30 ml.,si,si,
0338,set-lattafa-5-20-ml,Lattafa · 5 × 20 ml,lattafa,719,,Cinco fragancias Lattafa de 20 ml|Estuche de regalo,Estuche con cinco fragancias Lattafa en 20 ml.,,si,
0340,set-rasasi-hawas-4-30-ml,Rasasi Hawas · 4 × 30 ml,rasasi,719,,Cuatro fragancias Hawas de 30 ml|Estuche de regalo,Estuche con cuatro fragancias de la línea Hawas en 30 ml.,,si,
0335,set-lattafa-eclaire-4-30-ml,Lattafa Éclaire · 4 × 30 ml,lattafa,719,,Cuatro fragancias Éclaire de 30 ml|Estuche de regalo,Estuche con cuatro variantes de Lattafa Éclaire en 30 ml.,,si,
0336,set-lattafa-fakhar-3-50-ml,Lattafa Fakhar · 3 × 50 ml,lattafa,719,,Tres fragancias Fakhar de 50 ml|Estuche de regalo,Estuche con tres fragancias de la línea Fakhar en 50 ml.,,si,
0337,set-afnan-9pm-4-30-ml,Afnan 9pm · 4 × 30 ml,afnan,670,,Cuatro fragancias de la línea 9pm de 30 ml|Estuche de regalo,Estuche con cuatro fragancias de la línea 9pm de Afnan en 30 ml.,,si,
0350,set-french-avenue-vulcan-4-30-ml,French Avenue Vulcan · 4 × 30 ml,french-avenue,670,,Cuatro fragancias Vulcan de 30 ml|Estuche de regalo,Estuche con cuatro variantes de Vulcan en 30 ml.,,si,
